STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,PRCP,TAVG,TMAX,TMIN
FMW00040504,"POHNPEI WEATHER SERVICE OFFICE, FM FM",6.9667,158.2167,36.6,2004,5955,180.76,81.3,89,73.5
FMW00040504,"POHNPEI WEATHER SERVICE OFFICE, FM FM",6.9667,158.2167,36.6,2005,6029,191.08,81.5,88.6,74.4
FMW00040504,"POHNPEI WEATHER SERVICE OFFICE, FM FM",6.9667,158.2167,36.6,2006,6050,172.35,81.6,88.9,74.3
FMW00040504,"POHNPEI WEATHER SERVICE OFFICE, FM FM",6.9667,158.2167,36.6,2007,5893,193.89,81.1,88.3,74
FMW00040504,"POHNPEI WEATHER SERVICE OFFICE, FM FM",6.9667,158.2167,36.6,2008,5627,187.74,80.4,87.6,73.1
FMW00040504,"POHNPEI WEATHER SERVICE OFFICE, FM FM",6.9667,158.2167,36.6,2009,5674,167.89,80.5,88.5,72.6
FMW00040504,"POHNPEI WEATHER SERVICE OFFICE, FM FM",6.9667,158.2167,36.6,2010,5738,165.04,80.7,88.3,73.1
FMW00040504,"POHNPEI WEATHER SERVICE OFFICE, FM FM",6.9667,158.2167,36.6,2011,5789,,80.9,87.9,73.8
FMW00040504,"POHNPEI WEATHER SERVICE OFFICE, FM FM",6.9667,158.2167,36.6,2012,6100,162.27,81.7,88.3,75
FMW00040504,"POHNPEI WEATHER SERVICE OFFICE, FM FM",6.9667,158.2167,36.6,2013,6312,130.82,82.3,88,76.5
FMW00040504,"POHNPEI WEATHER SERVICE OFFICE, FM FM",6.9667,158.2167,36.6,2014,5987,189.02,81.4,89,73.8
FMW00040504,"POHNPEI WEATHER SERVICE OFFICE, FM FM",6.9667,158.2167,36.6,2015,5981,216.96,81.4,88.3,74.5
FMW00040504,"POHNPEI WEATHER SERVICE OFFICE, FM FM",6.9667,158.2167,36.6,2016,6297,176.54,82.2,88.1,76.4
FMW00040504,"POHNPEI WEATHER SERVICE OFFICE, FM FM",6.9667,158.2167,36.6,2017,6258,190.72,82.1,87.2,77.1
FMW00040504,"POHNPEI WEATHER SERVICE OFFICE, FM FM",6.9667,158.2167,36.6,2018,6176,248,81.9,87.5,76.3
FMW00040504,"POHNPEI WEATHER SERVICE OFFICE, FM FM",6.9667,158.2167,36.6,2019,6220,206.8,82,87.3,76.8
